"Decomposers_C";"Decomposers_N";"Decomposers_P";"Fixers_C";"Fixers_N";"Fixers_P";"Non_fixers_C";"Non_fixers_N";"Non_fixers_P";"Detritus_C";"Detritus_N";"Detritus_P";"Nitrogen";"Phosphorous";"NP_threshold";"CP_threshold";"CN_threshold";"Limitation_Decompo";"NP_threshold_NF";"Limitation_NF";"CN_seston";"CP_seston";"NP_seston";"CN_total";"CP_total";"NP_total";"C_seston";"N_seston";"P_seston";"C_organic";"N_organic";"P_organic";"NP_dissoluted";"NC_detritus";"PC_detritus";"Frac_decomp";"indirect_B_on_F";"indirect_F_on_B";"indirect_O_on_F";"indirect_F_on_O";"indirect_B_on_O";"indirect_O_on_B";"Type";"Inflow";"phi_P";"phi_N";"phi_D";"gO_NP";"gF_P";"Fraction_prod_decompo";"Fraction_prod_NF";"Fraction_prod_F";"Total_production";"IN";"IP";"ID";"Simulation_ID"
"100001";3.13916065781614;0.470874098672596;0.0470874098672468;9.79714038163888;1.22464254770486;0.0765401592315537;0;0;0;2.202207399872;0.282878252672163;0.0193904145218469;1.17361776102602;4.91547515909433;0.238759778666495;0.191969201158567;0.27966140875186;"C";0.238759778666495;"N";7.65191441132367;105.850383679591;13.8331897077872;4.80280699093504;2.99269130395657;0.623112964898456;15.138508439327;1.97839489904962;0.143017983620647;12.936301039455;1.69551664637746;0.123627569098801;0.238759778666495;0.128452139743334;0.00880499017620864;0.242662925688098;0.0106416245663444;0.0788888601050638;NA;NA;NA;NA;"A_to_I";"IN";1.18486971057052;0.412128594981053;2.86892937446234;0;11.5578240422654;0.0929842412878223;0;0.907015758712178;12.7426937528359;1;5;5;1
"1000011";3.13916066074946;0.470874099112612;0.0470874099112418;9.79714038167211;1.22464254770901;0.0765401592318134;0;0;0;2.20220739406545;0.282878251922915;0.0193904144697471;1.66856725580601;4.91547515906729;0.339451874297056;0.191969200667154;0.196705044043431;"C";0.339451874297056;"N";7.65191441106813;105.85038366554;13.8331897064129;4.15099137170857;2.99269130341577;0.720958208637269;15.138508436487;1.97839489874454;0.143017983612802;12.9363010424216;1.69551664682163;0.123627569143055;0.339451874297056;0.128452139741797;0.00880499017576672;0.242662925859202;0.0106416185880939;0.0788888674078144;NA;NA;NA;NA;"A_to_I";"IN";1.18486970863808;0.412128594308901;2.86892936957867;0;11.557824042241;0.0929842411504507;0;0.907015758849549;12.7426937508791;1.4949494949495;5;5;1
"1000012";3.13916066120815;0.470874099181322;0.0470874099181249;9.7971403816773;1.22464254770966;0.0765401592318539;0;0;0;2.20220739315748;0.282878251805754;0.0193904144616002;2.163516750729;4.91547515906306;0.440143969955773;0.191969200590311;0.151704670324596;"C";0.440143969955772;"N";7.65191441102854;105.85038366334;13.8331897061969;3.6549568695271;2.9926913033312;0.818803452451797;15.1385084360429;1.97839489869674;0.143017983611579;12.9363010428855;1.69551664689098;0.123627569149979;0.440143969955772;0.128452139741557;0.00880499017569761;0.242662925885958;0.0106416181267638;0.0788888748941425;NA;NA;NA;NA;"A_to_I";"IN";1.18486970833591;0.412128594203794;2.868929368815;0;11.5578240422372;0.0929842411289698;0;0.90701575887103;12.7426937505731;1.98989898989899;5;5;1
"1000013";3.13916066126481;0.470874099189872;0.0470874099189742;9.79714038167794;1.22464254770974;0.0765401592318589;0;0;0;2.20220739304532;0.282878251791282;0.0193904144605939;2.65846624567522;4.91547515906254;0.540836065618981;0.191969200580819;0.123460508828638;"C";0.540836065618981;"N";7.65191441102341;105.850383663069;13.8331897061708;3.26481815276735;2.99269130332076;0.916648696278558;15.1385084359881;1.9783948986909;0.143017983611427;12.9363010429428;1.69551664689961;0.123627569150833;0.540836065618981;0.128452139741527;0.00880499017568907;0.242662925889263;0.0106416185354087;0.078888867316091;NA;NA;NA;NA;"A_to_I";"IN";1.18486970829858;0.412128594190812;2.86892936872068;0;11.5578240422367;0.0929842411263165;0;0.907015758873684;12.7426937505353;2.48484848484848;5;5;1
"1000014";3.13916066126209;0.470874099189478;0.0470874099189308;9.79714038167791;1.22464254770974;0.0765401592318586;0;0;0;2.20220739305071;0.282878251791977;0.0193904144606422;3.15341574062487;4.91547515906257;0.641528161282838;0.191969200581275;0.104082563921801;"C";0.641528161282838;"N";7.65191441102359;105.850383663084;13.8331897061724;2.94993512036685;2.99269130332126;1.0144939401071;15.1385084359907;1.97839489869119;0.143017983611432;12.93630104294;1.69551664689922;0.123627569150789;0.641528161282838;0.128452139741529;0.00880499017568948;0.242662925889104;0.0106416146888963;0.078888867499444;NA;NA;NA;NA;"A_to_I";"IN";1.18486970830037;0.412128594191434;2.8689293687252;0;11.5578240422368;0.0929842411264439;0;0.907015758873556;12.7426937505371;2.97979797979798;5;5;1
"1000015";3.13916066126026;0.470874099189192;0.0470874099189106;9.7971403816779;1.22464254770974;0.0765401592318586;0;0;0;2.20220739305433;0.282878251792444;0.0193904144606747;3.64836523557447;4.91547515906258;0.742220256946684;0.191969200581581;0.0899623733379987;"C";0.742220256946684;"N";7.6519144110238;105.850383663087;13.8331897061725;2.69044851295544;2.9926913033216;1.1123391839356;15.1385084359925;1.97839489869137;0.143017983611444;12.9363010429382;1.69551664689893;0.123627569150769;0.742220256946684;0.12845213974153;0.00880499017568975;0.242662925888997;0.0106416172418624;0.0788888674994441;NA;NA;NA;NA;"A_to_I";"IN";1.18486970830158;0.412128594191853;2.86892936872825;0;11.5578240422368;0.0929842411265295;0;0.90701575887347;12.7426937505384;3.47474747474747;5;5;1
"1000016";3.13916066126305;0.470874099189575;0.047087409918945;9.79714038167793;1.22464254770974;0.0765401592318588;0;0;0;2.20220739304879;0.28287825179173;0.0193904144606251;4.1433147305238;4.91547515906255;0.842912352610483;0.191969200581113;0.0792157045124674;"C";0.842912352610483;"N";7.65191441102369;105.85038366308;13.8331897061717;2.47292167595531;2.99269130332109;1.21018442776396;15.1385084359898;1.97839489869105;0.143017983611429;12.936301042941;1.69551664689932;0.123627569150804;0.842912352610483;0.128452139741528;0.00880499017568934;0.24266292588916;0.0106416251495942;0.0788888673160913;NA;NA;NA;NA;"A_to_I";"IN";1.18486970829974;0.412128594191217;2.8689293687236;0;11.5578240422368;0.0929842411263985;0;0.907015758873602;12.7426937505365;3.96969696969697;5;5;1
"1000017";3.13916066126517;0.470874099189893;0.0470874099190011;9.79714038167795;1.22464254770974;0.076540159231859;0;0;0;2.2022073930446;0.282878251791189;0.0193904144605875;4.63826422547318;4.91547515906254;0.943604448274289;0.191969200580758;0.0707625912280222;"C";0.943604448274289;"N";7.65191441102351;105.850383663051;13.8331897061683;2.28793839185428;2.99269130332068;1.30802967159235;15.1385084359877;1.97839489869083;0.143017983611448;12.9363010429431;1.69551664689964;0.12362756915086;0.943604448274289;0.128452139741527;0.00880499017568902;0.242662925889284;0.0106416211240558;0.0788888674994437;NA;NA;NA;NA;"A_to_I";"IN";1.18486970829834;0.412128594190729;2.86892936872007;0;11.5578240422367;0.0929842411262993;0;0.907015758873701;12.7426937505351;4.46464646464647;5;5;1
"1000018";3.13916066126027;0.470874099189215;0.0470874099189039;9.7971403816779;1.22464254770974;0.0765401592318586;0;0;0;2.2022073930543;0.282878251792441;0.0193904144606745;5.13321372042296;4.91547515906258;1.04429654393816;0.191969200581579;0.0639395928695286;"C";1.04429654393816;"P";7.65191441102371;105.850383663092;13.8331897061733;2.12870382030075;2.9926913033216;1.40587491542096;15.1385084359925;1.97839489869139;0.143017983611437;12.9363010429382;1.69551664689895;0.123627569150763;1.04429654393816;0.12845213974153;0.00880499017568976;0.242662925888998;0.010641620206095;0.0788888674994441;NA;NA;NA;NA;"A_to_I";"IN";1.18486970830157;0.412128594191849;2.86892936872823;0;11.5578240422368;0.0929842411265288;0;0.907015758873471;12.7426937505384;4.95959595959596;5;5;1
"1000019";3.13916066124319;0.470874099186595;0.0470874099186489;9.79714038167771;1.22464254770971;0.0765401592318571;0;0;0;2.20220739308812;0.282878251796804;0.0193904144609779;5.62816321537344;4.91547515906274;1.14498863960216;0.191969200584441;0.0583166448521783;"C";1.14498863960216;"P";7.65191441102542;105.850383663173;13.8331897061808;1.99019164896852;2.99269130332475;1.50372015924989;15.138508436009;1.97839489869311;0.143017983611484;12.9363010429209;1.69551664689631;0.123627569150506;1.14498863960216;0.128452139741539;0.00880499017569233;0.242662925888001;0.0106416245895349;0.0788888674994456;NA;NA;NA;NA;"A_to_I";"IN";1.18486970831283;0.412128594195766;2.86892936875667;0;11.5578240422369;0.0929842411273289;0;0.907015758872671;12.7426937505498;5.45454545454546;5;5;1
