"Decomposers_C";"Decomposers_N";"Decomposers_P";"Fixers_C";"Fixers_N";"Fixers_P";"Non_fixers_C";"Non_fixers_N";"Non_fixers_P";"Detritus_C";"Detritus_N";"Detritus_P";"Nitrogen";"Phosphorous";"NP_threshold";"CP_threshold";"CN_threshold";"Limitation_Decompo";"NP_threshold_NF";"Limitation_NF";"indirect_B_on_F";"indirect_F_on_B";"indirect_O_on_F";"indirect_F_on_O";"indirect_B_on_O";"indirect_O_on_B";"Type";"CN_seston";"CP_seston";"NP_seston";"CN_total";"CP_total";"NP_total";"C_seston";"N_seston";"P_seston";"C_organic";"N_organic";"P_organic";"NP_dissoluted";"NC_detritus";"PC_detritus";"Frac_decomp";"Inflow";"phi_P";"phi_N";"phi_D";"gO_NP";"gF_P";"Fraction_prod_decompo";"Fraction_prod_NF";"Fraction_prod_F";"Total_production";"IN";"IP";"ID";"beta_A";"alpha_A";"Simulation_ID";"converged_";"kP";"kN";"muF";"muO";"dF";"dO";"beta_F";"beta_O";"alpha_F";"alpha_O";"eB";"aN";"aP";"aD";"m";"dB";"alpha_B";"beta_B";"IN";"IP";"ID";"lN";"lP";"lD";"beta_allo";"alpha_allo";"same_stoichio";"functional_response_phyto";"DC_";"sB";"sF";"sO"
"40001";0;0;0;9.7817677352382;1.22272096690478;0.0764200604315485;0.464249196572981;0.0580311495716226;0.00362694684822641;13.5246017062787;0.378075214402379;0.0330047009052709;0.985699678629192;4.90906988968259;0.200791535011722;2.39331469878013;11.5823858776049;"N";0.200791535011722;"N";NA;NA;-0.00437476788638949;0;NA;NA;"A_to_I";14.3297727229375;210.263241659132;14.6731735195329;8.98860875787107;4.73318261512879;0.52657566288933;23.7706186380899;1.65882733087878;0.113051708185046;10.2460169318112;1.2807521164764;0.0800470072797749;0.200791535011722;0.0279546283589896;0.00244034549941301;0;"IN";0;0;0;0.114402570966462;11.5246515496624;0;0.00982919829917254;0.990170801700827;11.6390541206288;1;5;25;0.002;0.02;1;TRUE;0.1;0.1;0.24;0.25;0.2;0.2;0.0078125;0.0078125;0.125;0.125;0.5;0.4;0.4;0.83;0.5;0.1;0.15;0.015;1;5;25;1;1;2;0.002;0.02;FALSE;1;FALSE;0.1;0.1;0.1
"400011";0;0;0;9.78059811395629;1.22257476424454;0.0764109227652835;0.671240117001616;0.083905014625202;0.00524406341407512;13.5451837689611;0.380647977970869;0.0331654986486132;1.06849604680065;4.90858254748179;0.217679143920847;2.39563683745472;10.6882126644523;"N";0.217679143920847;"N";NA;NA;-0.00471162174213407;0;NA;NA;"A_to_I";14.223595043482;208.99599958903;14.6936128981542;8.7083810091238;4.77704493260322;0.548557180444711;23.997021999919;1.68712775684061;0.114820484827972;10.4518382309579;1.30647977886974;0.0816549861793586;0.217679143920847;0.028102090341744;0.00244850857797974;0;"IN";0;0;0;0.179304352867557;11.5221295694638;0;0.0153232803823613;0.984676719617639;11.7014339223313;1.09090909090909;5;25;0.002;0.02;1;TRUE;0.1;0.1;0.24;0.25;0.2;0.2;0.0078125;0.0078125;0.125;0.125;0.5;0.4;0.4;0.83;0.5;0.1;0.15;0.015;1.09090909090909;5;25;1;1;2;0.002;0.02;FALSE;1;FALSE;0.1;0.1;0.1
"400012";0;0;0;9.7792902748273;1.22241128435341;0.0764007052720883;0.87583437340631;0.109479296675789;0.0068424560422368;13.5655124351799;0.383189058041038;0.0333243161384111;1.15033374936252;4.90803761451138;0.234377533285683;2.39796191668566;9.93088151420923;"N";0.234377533285683;"N";NA;NA;-0.00504027516428941;-1.3206499293007e-17;NA;NA;"A_to_I";14.1221646690084;207.782115669734;14.7131916770322;8.45275490831044;4.8204061095567;0.570276337341504;24.2206370834135;1.71507963907024;0.116567477452736;10.6551246482336;1.3318905810292;0.0832431613143251;0.234377533285683;0.0282472969504124;0.0024565467981873;0;"IN";0;0;0;0.251875459645264;11.5193098828986;0;0.0213976292374673;0.978602370762533;11.7711853425439;1.18181818181818;5;25;0.002;0.02;1;TRUE;0.1;0.1;0.24;0.25;0.2;0.2;0.0078125;0.0078125;0.125;0.125;0.5;0.4;0.4;0.83;0.5;0.1;0.15;0.015;1.18181818181818;5;25;1;1;2;0.002;0.02;FALSE;1;FALSE;0.1;0.1;0.1
"400013";0.076840571732455;0.0115260857598691;0.00115260857598688;9.77782701073136;1.22222837634142;0.0763892735213387;1.07830387727728;0.134787984659661;0.00842424904122878;13.5661077373674;0.385614297698868;0.033481361263362;1.23132155091096;4.90742792113805;0.250909757758686;2.39617225406798;9.26457529310295;"N";0.250909757758686;"N";-0.000285704087314318;0.000272952366795436;-0.00528385934479287;1.06300827790859e-05;0.000290969356352879;-0.0011338786425506;"A_to_I";13.9662999184562;205.103336239777;14.6855886983164;8.20608183120819;4.87361973028412;0.593903379289915;24.4990791971085;1.75415674445982;0.119447492401916;10.9329714597411;1.36854244676095;0.0859661311385544;0.250909757758686;0.0284248293736239;0.00246801528570635;0.00702833369824553;"IN";0.0390118933519326;0.0378461807833965;0.0466947904597705;0.331934700630591;11.516155507325;0.00318411436386727;0.0279266765170537;0.968889209119079;11.885936388739;1.27272727272727;5;25;0.002;0.02;1;TRUE;0.1;0.1;0.24;0.25;0.2;0.2;0.0078125;0.0078125;0.125;0.125;0.5;0.4;0.4;0.83;0.5;0.1;0.15;0.015;1.27272727272727;5;25;1;1;2;0.002;0.02;FALSE;1;FALSE;0.1;0.1;0.1
"400014";0.480843106449673;0.0721264659674559;0.00721264659674514;9.7756385367501;1.22195481709376;0.0763721760683602;1.27438091501551;0.159297614376939;0.00995610089855868;13.4732306734285;0.387253114808983;0.0336048315145452;1.30975236600556;4.906516056979;0.266941420510094;2.37523784872757;8.62756686394261;"N";0.266941420510094;"N";-0.00130961188377879;0.0018150781379944;-0.00522923422676413;-4.06367849044252e-05;-0.00106880989150062;-0.00730733530743144;"A_to_I";13.5845150281384;196.656925087774;14.4765510347942;7.93683888361327;4.96737646771405;0.625863336846852;25.0040932316438;1.84063201224714;0.127145755078209;11.5308625582153;1.45337889743816;0.093540923563664;0.266941420510094;0.0287424096117281;0.00249419254587688;0.0417005322908034;"IN";0.259809711835821;0.251914158539968;0.311626873501274;0.417280854658473;11.5114385874689;0.0206815315852015;0.0342577297978663;0.945060738616932;12.1806336006673;1.36363636363636;5;25;0.002;0.02;1;TRUE;0.1;0.1;0.24;0.25;0.2;0.2;0.0078125;0.0078125;0.125;0.125;0.5;0.4;0.4;0.83;0.5;0.1;0.15;0.015;1.36363636363636;5;25;1;1;2;0.002;0.02;FALSE;1;FALSE;0.1;0.1;0.1
"400015";0.867013251050727;0.130051987657615;0.0130051987657612;9.77257629342493;1.22157203667812;0.0763482522923822;1.46089083697886;0.182611354622358;0.0114132096638974;13.3690078102234;0.388275162856311;0.0336765263860698;1.38435633478879;4.90524012225972;0.282219891439494;2.35280072747052;8.07940516874972;"N";0.282219891439494;"N";-0.00223465293317692;0.00345601473622641;-0.00516934237391592;-0.000105720522688235;-0.00268220984934573;-0.0135131413908387;"A_to_I";13.2480356480338;189.444245852317;14.2997989200333;7.70199985124293;5.05378743627301;0.65616561073517;25.4694881916779;1.9225105418144;0.134443187108111;12.1004803814545;1.53423537895809;0.100766660722041;0.282219891439494;0.0290429303631189;0.00251899967926693;0.0716511430719339;"IN";0.495395156644081;0.480102114575158;0.595379149002759;0.505598371151646;11.5048399997645;0.0384372569892257;0.0404785022504779;0.921084240760296;12.4905404854913;1.45454545454545;5;25;0.002;0.02;1;TRUE;0.1;0.1;0.24;0.25;0.2;0.2;0.0078125;0.0078125;0.125;0.125;0.5;0.4;0.4;0.83;0.5;0.1;0.15;0.015;1.45454545454545;5;25;1;1;2;0.002;0.02;FALSE;1;FALSE;0.1;0.1;0.1
"400016";1.23763895463556;0.185645843195361;0.0185645843195346;9.76875134093648;1.22109391761706;0.0763183698510663;1.63906661322519;0.204883326653149;0.0128052079158218;13.2547845845249;0.388744352583518;0.0337018038305792;1.45562664526174;4.90364639205058;0.296845761069047;2.32904183167531;7.60017957701371;"N";0.296845761069047;"N";-0.0030770553317432;0.00518279117347552;-0.00510595389206399;-0.000182964163028756;-0.00449189743377955;-0.0197178903558162;"A_to_I";12.9477419871854;183.183023811789;14.1478741230006;7.49429566543737;5.13380670734278;0.685028578605347;25.9002414933221;2.00036744004909;0.141389965917002;12.6454569087972;1.61162308746557;0.107688162086423;0.296845761069047;0.0293286058407454;0.00254261422474768;0.0978722211116435;"IN";0.743920526002639;0.720616095832564;0.895758395168875;0.596467258892377;11.4966005442774;0.0562380109820464;0.0465492409203896;0.897212748097564;12.8136838990023;1.54545454545455;5;25;0.002;0.02;1;TRUE;0.1;0.1;0.24;0.25;0.2;0.2;0.0078125;0.0078125;0.125;0.125;0.5;0.4;0.4;0.83;0.5;0.1;0.15;0.015;1.54545454545455;5;25;1;1;2;0.002;0.02;FALSE;1;FALSE;0.1;0.1;0.1
"400017";1.59455640767154;0.23918346115075;0.0239183461150727;9.76425285906677;1.22053160738335;0.0762832254614592;1.80989750415615;0.226237188019518;0.0141398242512199;13.1316454368485;0.38871259808728;0.0336850135615138;1.52395900164874;4.90177202460828;0.310899608141307;2.30410593951715;7.17570922760767;"N";0.310899608141307;"N";-0.00384936678249794;0.00698500718646963;-0.00504037272728693;-0.000270985693324262;-0.00645491649416901;-0.0258983769318228;"A_to_I";12.6769160565432;177.673378123905;14.0155048224208;7.30844713369404;5.20819841653025;0.71262722726952;26.3003522077429;2.0746648546409;0.148026409389266;13.1687067708945;1.68595225655362;0.114341395827752;0.310899608141307;0.0296012102943718;0.00256517842516452;0.121086788202759;"IN";1.00390033402392;0.972015436443086;1.21099485985653;0.689552398380086;11.486913961386;0.0739260586513744;0.0524434994904804;0.873630441858145;13.1484817962092;1.63636363636364;5;25;0.002;0.02;1;TRUE;0.1;0.1;0.24;0.25;0.2;0.2;0.0078125;0.0078125;0.125;0.125;0.5;0.4;0.4;0.83;0.5;0.1;0.15;0.015;1.63636363636364;5;25;1;1;2;0.002;0.02;FALSE;1;FALSE;0.1;0.1;0.1
"400018";1.93926587573078;0.290889881359652;0.0290889881359627;9.75915375274274;1.21989421909284;0.0762433886933026;1.97419158527085;0.246773948158857;0.0154233717599285;13.0004804699806;0.388222877703612;0.0336297555177404;1.5896766340788;4.89964739697019;0.324447150025901;2.27811095233713;6.79558975616133;"N";0.324447150025901;"N";-0.00456150077027776;0.00885416558370246;-0.0049734298883797;-0.000368622540654315;-0.00853851880114986;-0.0320383727250817;"A_to_I";12.4304822345177;172.769404990575;13.8988497574792;7.14051525214312;5.27758568371021;0.739104321936182;26.673091683725;2.14578092631496;0.154385504106934;13.6726112137444;1.75755804861135;0.120755748589194;0.324447150025901;0.0298621946011961;0.00258680866414089;0.141835809225771;"IN";1.27411870914868;1.23312225996624;1.53963474179442;0.784581558575017;11.4759389475019;0.0913854235914264;0.0581445331092819;0.850470043299292;13.4936427660431;1.72727272727273;5;25;0.002;0.02;1;TRUE;0.1;0.1;0.24;0.25;0.2;0.2;0.0078125;0.0078125;0.125;0.125;0.5;0.4;0.4;0.83;0.5;0.1;0.15;0.015;1.72727272727273;5;25;1;1;2;0.002;0.02;FALSE;1;FALSE;0.1;0.1;0.1
"400019";2.27301195295553;0.340951792943371;0.0340951792943348;9.75351453526937;1.21918931690867;0.0761993323067919;2.13261904676065;0.266577380845081;0.0166610863028176;12.8620312139109;0.387311259081538;0.0335390489962198;1.65304761866294;4.89729772302085;0.337542806697747;2.25115436833062;6.45199472096591;"N";0.337542806697747;"N";-0.00522140399410571;0.0107832565869177;-0.00490580452726233;-0.000474891553042931;-0.0107173253926382;-0.0381264274187246;"A_to_I";12.2045228848428;168.361856739714;13.7950379812724;6.98749318268378;5.34248438302706;0.764578117409354;27.0211767488964;2.21402974977866;0.160494646900164;14.1591455349855;1.82671849069712;0.126955597903944;0.337542806697747;0.0301127600019072;0.00260760127529047;0.160533130148228;"IN";1.55356522487348;1.50295879841022;1.8804655087991;0.881330209190732;11.4638074860061;0.108531797067132;0.0636426970015407;0.827825505931328;13.8480964936071;1.81818181818182;5;25;0.002;0.02;1;TRUE;0.1;0.1;0.24;0.25;0.2;0.2;0.0078125;0.0078125;0.125;0.125;0.5;0.4;0.4;0.83;0.5;0.1;0.15;0.015;1.81818181818182;5;25;1;1;2;0.002;0.02;FALSE;1;FALSE;0.1;0.1;0.1
